cliente_id,telefone_id,numero,ddd,desde
CLI0144,TEL0144,96089-7573,31,2021-12-11
CLI0145,TEL0145,92698-2295,31,2020-08-30
CLI0146,TEL0126,97565-8564,85,2024-06-14
CLI0147,TEL0001,96625-9679,61,2019-05-18
CLI0148,TEL0148,93094-4209,21,2019-12-26
CLI0149,TEL0149,98309-3210,71,2021-06-13
CLI0150,TEL0150,92247-3412,21,2024-09-04
CLI0151,TEL0151,98843-6605,41,2023-09-08
CLI0152,TEL0152,99721-1787,81,2022-12-06
CLI0153,TEL0153,95337-9422,31,2024-05-09
CLI0154,TEL0154,99248-6313,51,2021-04-07
CLI0155,TEL0155,95169-6005,61,2023-11-02
CLI0156,TEL0156,92256-2825,31,2025-11-26
CLI0157,TEL0157,99048-2390,81,2019-10-09
CLI0158,TEL0158,93725-9016,31,2020-03-18
CLI0159,TEL0159,92192-8778,61,2018-12-23
CLI0160,TEL0160,97341-5045,11,2024-01-24
CLI0161,TEL0161,97334-4760,61,2020-03-11
CLI0162,TEL0162,94759-6423,41,2021-10-07
CLI0163,TEL0163,99432-2132,71,2023-07-12
CLI0164,TEL0164,97962-6658,31,2020-10-03
CLI0165,TEL0165,95286-5290,71,2025-11-21
CLI0166,TEL0166,92080-8784,41,2022-04-24
CLI0167,TEL0167,94947-3020,31,2019-03-23
CLI0168,TEL0168,99828-7324,71,2024-10-31
CLI0169,TEL0169,91998-6014,61,2025-11-01
CLI0170,TEL0170,93253-5158,71,2020-03-29
CLI0171,TEL0171,99854-7247,51,2020-11-12
CLI0172,TEL0172,94709-8365,31,2024-04-25
CLI0173,TEL0173,93473-2846,85,2019-08-04
CLI0174,TEL0174,94442-3824,85,2021-07-23
CLI0175,TEL0175,93748-3387,21,2022-06-03
CLI0176,TEL0176,91034-1266,21,2018-02-12
CLI0177,TEL0177,92877-1742,11,2020-07-20
CLI0178,TEL0178,99974-2369,51,2020-02-23
CLI0179,TEL0179,94854-5740,61,2021-03-20
CLI0180,TEL0180,91776-8906,51,2023-08-16
CLI0181,TEL0181,96183-2600,11,2019-09-16
CLI0182,TEL0182,93988-1057,61,2024-10-02
CLI0183,TEL0183,92221-6429,11,2025-11-16
CLI0184,TEL0184,97915-5401,21,2023-11-13
CLI0185,TEL0185,95900-2417,21,2018-09-18
CLI0186,TEL0186,99874-6307,21,2019-01-13
CLI0187,TEL0187,99565-1246,61,2023-11-07
CLI0188,TEL0188,95820-3307,71,2019-10-07
CLI0189,TEL0189,91252-9650,41,2019-12-27
CLI0190,TEL0190,92938-8741,85,2018-04-02
CLI0191,TEL0191,91501-7078,71,2018-03-25
CLI0192,TEL0192,97177-1382,41,2020-07-29
CLI0193,TEL0193,98447-9552,85,2024-05-12
CLI0194,TEL0194,91095-7038,31,2024-01-17
CLI0195,TEL0195,92929-8545,81,2020-08-29
CLI0196,TEL0196,98999-5862,71,2019-02-08
CLI0197,TEL0197,93370-5592,21,2022-02-10
CLI0198,TEL0198,93665-3308,81,2018-03-02
CLI0199,TEL0199,95330-7003,51,2024-10-19
CLI0200,TEL0200,97108-8964,11,2021-04-24
CLI0201,TEL0201,93318-3069,61,2023-07-28
CLI0202,TEL0202,92038-7542,41,2022-03-07
CLI0203,TEL0203,98526-3812,41,2022-11-18
CLI0204,TEL0204,93669-6375,51,2018-12-16
CLI0205,TEL0205,93994-3636,51,2020-06-05
CLI0206,TEL0206,92187-7381,85,2020-07-22
CLI0207,TEL0207,96757-1966,21,2022-12-09
CLI0208,TEL0208,92789-2411,61,2024-11-13
CLI0209,TEL0209,94725-8218,11,2021-02-22
CLI0210,TEL0210,92161-8048,61,2021-03-21
CLI0211,TEL0211,99260-6116,85,2023-06-29
CLI0212,TEL0212,99550-8673,71,2025-06-22
CLI0213,TEL0213,95212-5571,81,2022-12-06
CLI0214,TEL0214,99432-3314,81,2023-02-20
CLI0215,TEL0215,92158-1581,51,2021-03-08
CLI0216,TEL0216,97607-4633,31,2022-10-28
CLI0217,TEL0217,98173-5194,85,2024-03-02
CLI0218,TEL0218,91990-7645,51,2020-07-30
CLI0219,TEL0219,99977-4588,51,2021-06-19
CLI0220,TEL0220,96208-4733,71,2019-11-07
CLI0221,TEL0221,96420-6472,11,2023-01-06
CLI0222,TEL0222,98356-6497,61,2020-06-04
CLI0223,TEL0223,93994-1159,11,2023-07-02
CLI0224,TEL0224,99083-6070,11,2025-06-02
CLI0225,TEL0225,92640-8580,85,2024-06-28
CLI0226,TEL0226,95832-8293,71,2020-07-17
CLI0227,TEL0227,97077-4830,61,2022-05-19
CLI0228,TEL0228,91010-2354,31,2023-08-27
CLI0229,TEL0229,91173-3587,71,2024-12-02
CLI0230,TEL0230,94515-3999,61,2022-05-24
CLI0231,TEL0231,96567-1524,81,2021-09-26
CLI0232,TEL0232,94133-3115,81,2025-01-01
CLI0233,TEL0233,91459-4778,21,2020-08-12
CLI0234,TEL0234,94542-5981,11,2019-09-05
CLI0235,TEL0235,91514-4514,71,2022-12-09
CLI0236,TEL0236,99892-5913,21,2020-02-29
CLI0237,TEL0237,99936-6884,61,2023-12-18
CLI0238,TEL0238,91748-6920,71,2025-03-02
CLI0239,TEL0239,91213-1314,71,2021-07-24
CLI0240,TEL0240,99957-7338,81,2018-10-28
CLI0241,TEL0241,95375-3053,41,2021-07-24
CLI0242,TEL0242,97143-4686,11,2020-11-05
CLI0243,TEL0243,96475-6375,11,2018-10-19
CLI0244,TEL0244,92194-9081,41,2021-04-24
CLI0245,TEL0245,94008-5683,21,2019-11-21
CLI0246,TEL0246,93448-4585,41,2022-04-19
CLI0247,TEL0247,91652-7910,11,2022-02-15
CLI0248,TEL0248,97783-9362,51,2022-04-20
CLI0249,TEL0249,97432-8275,41,2025-04-03
CLI0250,TEL0250,98479-6473,85,2022-11-09
CLI0251,TEL0251,92437-3801,71,2021-07-21
CLI0252,TEL0252,97866-3935,11,2023-04-25
CLI0253,TEL0253,94056-2273,51,2022-06-13
CLI0254,TEL0254,98289-2876,21,2022-01-30
CLI0255,TEL0255,91100-3964,41,2021-04-12
CLI0256,TEL0256,93800-2106,61,2023-09-25
CLI0257,TEL0257,91070-6997,21,2021-11-22
CLI0258,TEL0258,94464-9774,61,2019-04-27
CLI0259,TEL0259,98598-8707,31,2020-07-27
CLI0260,TEL0260,91824-6565,41,2018-04-13
CLI0261,TEL0261,92100-9970,71,2025-09-07
CLI0262,TEL0262,99340-5523,61,2019-06-11
CLI0263,TEL0263,93754-8811,31,2019-01-11
CLI0264,TEL0264,95825-9792,31,2024-04-20
CLI0265,TEL0265,91969-5128,21,2022-07-10
CLI0266,TEL0266,93157-9599,21,2022-07-16
CLI0267,TEL0267,91167-3073,11,2021-08-29
CLI0268,TEL0268,93445-4588,31,2020-03-31
CLI0269,TEL0269,92691-4992,61,2024-05-11
CLI0270,TEL0270,97847-6496,11,2023-07-04
CLI0271,TEL0271,96643-4781,81,2020-11-26
CLI0272,TEL0272,92572-9802,41,2019-02-15
CLI0273,TEL0273,92468-7811,21,2025-05-22
CLI0274,TEL0274,99698-4574,21,2024-03-16
CLI0275,TEL0275,95520-2095,71,2023-12-29
CLI0276,TEL0276,92941-7877,81,2023-04-05
CLI0277,TEL0277,97038-7843,71,2024-01-17
CLI0278,TEL0278,93506-2378,85,2025-06-07
CLI0279,TEL0279,95701-5173,51,2021-12-17
CLI0280,TEL0280,96016-4089,41,2023-09-04
CLI0281,TEL0281,97175-3740,81,2019-09-23
CLI0282,TEL0282,92924-2449,51,2024-07-29
CLI0283,TEL0283,96628-6252,51,2022-06-29
CLI0284,TEL0284,91643-9745,81,2024-02-09
CLI0285,TEL0285,93416-4933,51,2021-02-15
CLI0286,TEL0286,95319-4614,41,2020-03-12
CLI0287,TEL0287,95615-8551,31,2024-02-29
CLI0288,TEL0288,95022-5271,41,2021-08-05
CLI0289,TEL0289,96993-9667,81,2019-07-04
CLI0290,TEL0290,97396-5400,81,2025-04-11
CLI0291,TEL0291,96496-4266,61,2020-06-09
CLI0292,TEL0292,97439-7335,85,2019-01-31
CLI0293,TEL0293,93072-2295,31,2023-11-09
CLI0294,TEL0294,96440-6019,85,2019-12-11
CLI0295,TEL0295,96293-7081,71,2023-11-29
CLI0296,TEL0296,91221-8425,51,2023-11-29
CLI0297,TEL0297,93975-7304,21,2022-12-07
CLI0298,TEL0298,99920-4201,41,2019-01-22
CLI0299,TEL0299,96061-4497,11,2023-05-13
CLI0300,TEL0300,94702-2708,11,2024-06-24
CLI0301,TEL0301,96837-3736,31,2019-06-02
CLI0302,TEL0302,95601-6215,31,2025-04-23
CLI0303,TEL0303,98093-9281,81,2020-04-17
CLI0304,TEL0304,91796-2842,81,2022-07-07
CLI0305,TEL0305,97732-6594,31,2022-11-19
CLI0306,TEL0306,98044-7558,61,2019-11-30
CLI0307,TEL0307,95565-2014,11,2021-07-16
CLI0308,TEL0308,99798-2030,11,2019-05-19
CLI0309,TEL0309,91595-1414,31,2024-09-07
CLI0310,TEL0310,94052-6239,81,2023-06-20
CLI0311,TEL0311,95933-4714,21,2019-04-28
CLI0312,TEL0312,99099-3694,11,2019-04-30
CLI0313,TEL0313,96751-3525,85,2022-09-23
CLI0314,TEL0314,98940-5032,61,2020-07-08
CLI0315,TEL0315,94844-3430,31,2024-01-21
CLI0316,TEL0316,93855-1023,51,2020-07-15
CLI0317,TEL0317,94694-3116,41,2023-01-24
CLI0318,TEL0318,98692-7506,21,2025-03-03
CLI0319,TEL0319,99156-2979,85,2019-10-04
CLI0320,TEL0320,92616-1231,81,2020-05-03
CLI0321,TEL0321,94641-3996,21,2021-07-18
CLI0322,TEL0322,99751-5231,71,2021-12-23
CLI0323,TEL0323,93146-3378,41,2020-09-13
CLI0324,TEL0324,91276-2738,51,2025-01-01
CLI0325,TEL0325,93527-4016,31,2021-09-05
CLI0326,TEL0326,96530-4458,61,2022-10-09
CLI0327,TEL0327,95008-2092,21,2024-01-03
CLI0328,TEL0328,95518-2712,41,2021-05-17
CLI0329,TEL0329,95995-2999,85,2023-02-11
CLI0330,TEL0330,97313-3859,71,2025-09-29
CLI0331,TEL0331,94755-8758,61,2025-11-21
CLI0332,TEL0332,91737-6923,61,2020-02-11
CLI0333,TEL0333,97034-2416,71,2022-01-19
CLI0334,TEL0334,96405-8016,51,2018-12-09
CLI0335,TEL0335,96259-8386,85,2024-01-24
CLI0336,TEL0336,91008-3246,11,2023-05-08
CLI0337,TEL0337,92165-9128,21,2025-02-12
CLI0338,TEL0338,94991-8045,71,2024-10-17
CLI0339,TEL0339,91595-9572,81,2022-04-28
CLI0340,TEL0340,94790-2309,31,2018-06-11
CLI0341,TEL0341,98542-6556,85,2018-09-18
CLI0342,TEL0342,94886-4407,51,2025-03-20
CLI0343,TEL0343,96387-6058,41,2022-05-17
CLI0344,TEL0344,93976-4820,21,2018-06-14
CLI0345,TEL0345,96766-1385,61,2021-02-26
CLI0346,TEL0346,95654-8863,11,2023-11-20
CLI0347,TEL0347,98606-7482,51,2019-08-25
CLI0348,TEL0348,98337-8375,51,2025-05-06
CLI0349,TEL0349,97989-1553,51,2023-06-15
CLI0350,TEL0350,96783-6156,41,2018-07-30
CLI0351,TEL0351,95462-7989,31,2023-12-08
CLI0352,TEL0352,96867-3250,71,2023-10-31
CLI0353,TEL0353,98634-1130,31,2022-08-13
CLI0354,TEL0354,98580-7775,41,2021-06-21
CLI0355,TEL0355,95751-9593,85,2024-07-19
CLI0356,TEL0356,97782-8120,41,2023-08-29
CLI0357,TEL0357,94627-6036,51,2024-08-19
CLI0358,TEL0358,97480-5007,41,2025-02-25
CLI0359,TEL0359,94709-5417,71,2024-01-02
CLI0360,TEL0360,93807-3393,41,2025-01-03
CLI0361,TEL0361,98815-4580,85,2019-11-16
CLI0362,TEL0362,93583-2697,11,2021-01-05
CLI0363,TEL0363,92886-8843,11,2024-11-06
CLI0364,TEL0364,95703-7763,61,2022-03-16
CLI0365,TEL0365,91610-5004,11,2025-10-27
CLI0366,TEL0366,97250-2050,31,2025-01-19
CLI0367,TEL0367,93317-6828,21,2023-05-05
CLI0368,TEL0368,96836-9663,71,2025-09-12
CLI0369,TEL0369,91037-8049,21,2020-12-31
CLI0370,TEL0370,95888-4099,51,2025-06-23
CLI0371,TEL0371,92187-4650,85,2024-07-02
CLI0372,TEL0372,94121-7674,31,2019-10-28
CLI0373,TEL0373,98495-5796,31,2024-08-15
CLI0374,TEL0374,95935-4800,81,2018-03-28
CLI0375,TEL0375,91459-1535,85,2021-09-06
CLI0376,TEL0376,97249-1821,31,2025-05-16
CLI0377,TEL0377,98178-5686,21,2019-10-01
CLI0378,TEL0378,96218-1957,31,2023-02-22
CLI0379,TEL0379,95592-7916,71,2018-12-09
CLI0380,TEL0380,94259-4293,31,2021-11-18
CLI0381,TEL0381,91266-3202,61,2021-12-19
CLI0382,TEL0382,94763-1359,41,2018-02-27
CLI0383,TEL0383,93012-8008,81,2020-08-26
CLI0384,TEL0384,96691-6164,41,2019-12-02
CLI0385,TEL0385,94450-1918,21,2022-10-15
CLI0386,TEL0386,98989-3795,41,2021-05-06
CLI0387,TEL0387,99850-5849,81,2018-08-31
CLI0388,TEL0388,93677-3169,51,2022-04-16
CLI0389,TEL0389,95242-9953,81,2018-07-05
CLI0390,TEL0390,96261-5267,71,2023-03-15
CLI0391,TEL0391,99873-4725,85,2021-06-16
CLI0392,TEL0392,96562-9286,21,2020-02-13
CLI0393,TEL0393,96623-7312,71,2019-09-06
CLI0394,TEL0394,93415-5053,81,2021-09-01
CLI0395,TEL0395,94052-2633,31,2025-04-20
CLI0396,TEL0396,99413-1687,41,2022-08-16
CLI0397,TEL0397,91819-2211,81,2021-02-17
CLI0398,TEL0398,94695-3474,61,2024-09-30
CLI0399,TEL0399,96215-2792,81,2021-07-11
CLI0400,TEL0400,97353-5170,41,2023-12-15
CLI0401,TEL0401,95739-3451,31,2019-02-15
CLI0402,TEL0402,95270-7266,41,2020-05-18
CLI0403,TEL0403,94315-5749,51,2024-08-28
CLI0404,TEL0404,99177-9332,61,2018-08-20
CLI0405,TEL0405,91169-7130,71,2020-01-19
CLI0406,TEL0406,96131-4104,81,2024-03-09
CLI0407,TEL0407,94427-3620,61,2022-07-18
CLI0408,TEL0408,98768-6224,31,2020-10-11
CLI0409,TEL0409,92319-7543,61,2019-06-04
CLI0410,TEL0410,97043-3583,31,2024-08-16
CLI0411,TEL0411,94577-1688,31,2025-08-29
CLI0412,TEL0412,97590-4810,71,2020-10-05
CLI0413,TEL0413,93823-5860,31,2020-03-09
CLI0414,TEL0414,99427-1443,85,2018-12-13
CLI0415,TEL0415,94654-9819,11,2020-06-13
CLI0416,TEL0416,93572-2052,21,2022-03-09
CLI0417,TEL0417,97096-5850,85,2025-11-12
CLI0418,TEL0418,98134-9903,71,2022-06-04
CLI0419,TEL0419,92703-2797,85,2022-10-07
CLI0420,TEL0420,96067-6006,31,2022-06-29
CLI0421,TEL0421,99232-9156,81,2023-01-20
CLI0422,TEL0422,99532-6362,71,2018-06-27
CLI0423,TEL0423,92945-8132,31,2019-05-06
CLI0424,TEL0424,93308-8145,31,2024-05-09
CLI0425,TEL0425,92047-1745,51,2020-11-10
CLI0426,TEL0426,95610-8956,85,2020-03-10
CLI0427,TEL0427,98315-3513,71,2022-12-12
CLI0428,TEL0428,99416-4263,21,2019-08-05
CLI0429,TEL0429,97918-7714,11,2025-04-17
CLI0430,TEL0430,96698-4222,31,2023-12-16
CLI0431,TEL0431,92578-1063,61,2018-08-23
CLI0432,TEL0432,99674-4849,85,2021-06-14
CLI0433,TEL0433,97847-3800,11,2024-10-08
CLI0434,TEL0434,93687-8493,71,2025-11-02
CLI0435,TEL0435,99218-7313,41,2018-09-10
CLI0436,TEL0436,92868-9885,71,2019-06-27
CLI0437,TEL0437,95992-2780,11,2024-06-02
CLI0438,TEL0438,94295-4696,31,2022-11-29
CLI0439,TEL0439,98554-2037,85,2019-02-20
CLI0440,TEL0440,99077-7318,21,2021-05-11
CLI0441,TEL0441,93736-1102,85,2019-12-20
CLI0442,TEL0442,93087-8652,81,2022-11-19
CLI0443,TEL0443,96772-7864,85,2020-11-09
CLI0444,TEL0444,93919-1272,31,2020-04-04
CLI0445,TEL0445,99746-7299,31,2023-02-12
CLI0446,TEL0446,98343-4344,51,2024-03-27
CLI0447,TEL0447,96626-6343,41,2022-11-04
CLI0448,TEL0448,98280-5880,31,2019-12-24
CLI0449,TEL0449,93338-7750,71,2019-07-15
CLI0450,TEL0450,97493-8936,11,2020-09-13
CLI0451,TEL0451,99159-5176,85,2022-12-30
CLI0452,TEL0452,94170-9258,51,2019-06-17
CLI0453,TEL0453,99503-6625,41,2022-10-11
CLI0454,TEL0454,99744-1458,51,2020-02-20
CLI0455,TEL0455,97463-1162,61,2019-05-17
CLI0456,TEL0456,98515-1640,71,2022-01-02
CLI0457,TEL0457,91296-9918,31,2025-08-05
CLI0458,TEL0458,94628-1008,85,2018-09-18
CLI0459,TEL0459,95999-9861,85,2019-08-01
CLI0460,TEL0460,97815-4875,11,2018-08-30
CLI0461,TEL0461,91774-1010,41,2023-11-09
CLI0462,TEL0462,92668-6830,41,2019-10-20
CLI0463,TEL0463,95277-4138,81,2021-06-21
CLI0464,TEL0464,99235-8861,11,2023-10-11
CLI0465,TEL0465,91572-1511,21,2020-01-27
CLI0466,TEL0466,91779-4783,51,2025-11-22
CLI0467,TEL0467,91708-7445,81,2022-02-26
CLI0468,TEL0468,97131-3700,51,2020-07-02
CLI0469,TEL0469,96639-8146,81,2020-10-26
CLI0470,TEL0470,93046-1129,61,2019-10-10
CLI0471,TEL0471,98202-1481,51,2019-04-06
CLI0472,TEL0472,95727-6335,61,2021-03-09
CLI0473,TEL0473,92579-4797,85,2018-12-16
CLI0474,TEL0474,93247-5709,61,2025-07-13
CLI0475,TEL0475,91923-1054,41,2020-10-26
CLI0476,TEL0476,92113-8738,41,2023-03-01
CLI0477,TEL0477,97973-5435,85,2022-03-15
CLI0478,TEL0478,96263-6320,31,2023-11-23
CLI0479,TEL0479,92661-7653,21,2023-09-05
CLI0480,TEL0480,98350-2090,11,2019-10-25
CLI0481,TEL0481,96054-2519,51,2024-04-28
CLI0482,TEL0482,96998-4519,61,2022-04-20
CLI0483,TEL0483,95846-2837,81,2025-04-18
CLI0484,TEL0484,98527-4267,51,2021-06-14
CLI0485,TEL0485,99364-9754,11,2023-07-24
CLI0486,TEL0486,92362-2124,41,2018-07-11
CLI0487,TEL0487,99404-8773,85,2021-11-11
CLI0488,TEL0488,93852-8862,85,2025-02-07
CLI0489,TEL0489,98123-4013,61,2025-05-24
CLI0490,TEL0490,96009-7694,61,2018-05-09
CLI0491,TEL0491,91819-2663,85,2020-07-25
CLI0492,TEL0492,94080-5792,51,2025-10-26
CLI0493,TEL0493,98253-7207,31,2019-07-08
CLI0494,TEL0494,94439-7488,31,2021-01-01
CLI0495,TEL0495,95292-6594,11,2023-06-08
CLI0496,TEL0496,99720-6575,81,2025-05-19
CLI0497,TEL0497,93682-2559,21,2023-08-12
CLI0498,TEL0498,93788-5830,71,2018-11-16
CLI0499,TEL0499,98500-7073,81,2022-12-29
CLI0500,TEL0500,96710-9518,31,2020-05-17
CLI0501,TEL0501,92170-8227,81,2018-07-23
CLI0502,TEL0502,99854-4072,81,2018-01-15
CLI0503,TEL0503,99669-5902,51,2019-08-13
CLI0504,TEL0504,97970-9132,31,2018-03-22
CLI0505,TEL0505,94565-1486,41,2025-05-30
CLI0506,TEL0506,92869-2342,41,2019-03-28
CLI0507,TEL0507,91186-1371,31,2020-02-01
CLI0508,TEL0508,97068-6171,31,2022-12-07
CLI0509,TEL0509,97122-2465,61,2019-07-03
CLI0510,TEL0510,91194-6216,41,2025-06-14
CLI0511,TEL0511,94950-2307,11,2025-10-25
CLI0512,TEL0512,93202-6163,61,2019-03-28
CLI0513,TEL0513,91967-9701,61,2023-09-18
CLI0514,TEL0514,93015-1699,51,2023-09-10
CLI0515,TEL0515,94384-7561,21,2023-12-15
CLI0516,TEL0516,93291-8206,21,2025-03-25
