cliente_id,rg_id,numero,desde
CLI0084,RG0084,64033353,2019-03-23
CLI0085,RG0085,57410229,2018-05-10
CLI0086,RG0086,14306326,2024-11-07
CLI0087,RG0087,94132724,2025-10-04
CLI0088,RG0088,72727812,2022-09-23
CLI0089,RG0089,84092834,2018-04-24
CLI0090,RG0058,34003188,2025-05-02
CLI0091,RG0091,91350587,2023-08-08
CLI0092,RG0109,25826147,2020-05-04
CLI0093,RG0093,29923261,2019-09-09
CLI0094,RG0094,41312845,2021-09-02
CLI0095,RG0095,89319330,2018-10-19
CLI0096,RG0096,67819252,2023-02-07
CLI0097,RG0110,84067785,2018-06-18
CLI0098,RG0098,99302836,2021-05-07
CLI0099,RG0099,59576939,2025-05-31
CLI0100,RG0100,69653983,2025-06-09
CLI0101,RG0101,19477031,2018-07-04
CLI0102,RG0102,26138727,2023-08-31
CLI0103,RG0103,60170490,2024-03-23
CLI0104,RG0104,82490321,2018-12-31
CLI0105,RG0105,34136369,2019-08-22
CLI0106,RG0106,96966644,2019-03-17
CLI0107,RG0107,32192825,2018-06-21
CLI0108,RG0108,99962943,2019-04-03
CLI0109,RG0109,25826147,2023-04-21
CLI0110,RG0110,84067785,2021-04-10
CLI0111,RG0111,60652004,2019-05-10
CLI0112,RG0110,84067785,2019-09-09
CLI0113,RG0113,67620777,2023-01-11
CLI0114,RG0114,11558972,2019-12-29
CLI0115,RG0115,87845932,2019-11-20
CLI0116,RG0116,77448816,2020-06-14
CLI0117,RG0117,77351635,2025-07-06
CLI0118,RG0118,30312335,2019-08-12
CLI0119,RG0119,50251854,2018-10-21
CLI0120,RG0120,37457064,2020-11-26
CLI0121,RG0121,55866092,2022-11-13
CLI0122,RG0109,25826147,2023-09-03
CLI0123,RG0123,29413864,2021-07-10
CLI0124,RG0124,48809347,2018-05-16
CLI0125,RG0125,18768924,2022-08-21
CLI0126,RG0126,82617403,2020-02-29
CLI0127,RG0127,20686342,2025-07-29
CLI0128,RG0128,93556913,2020-03-23
CLI0129,RG0129,88083792,2020-05-29
CLI0130,RG0130,22119306,2024-04-08
CLI0131,RG0131,28088212,2019-03-31
CLI0132,RG0132,61202708,2023-12-13
CLI0133,RG0133,18303664,2023-10-16
CLI0134,RG0134,65135245,2025-03-20
CLI0135,RG0135,17490874,2022-08-07
CLI0136,RG0136,28238410,2019-05-19
CLI0137,RG0137,46771858,2019-03-31
CLI0138,RG0138,68492621,2020-06-06
CLI0139,RG0139,69471346,2023-10-19
CLI0140,RG0058,34003188,2023-09-15
CLI0141,RG0141,64282556,2023-12-23
CLI0142,RG0142,24549026,2021-08-28
CLI0143,RG0143,35063557,2019-05-14
CLI0144,RG0110,84067785,2023-08-08
CLI0145,RG0145,19037184,2024-01-22
CLI0146,RG0146,59997347,2020-11-01
CLI0147,RG0147,10821316,2021-04-02
CLI0148,RG0148,74585618,2020-10-03
CLI0149,RG0149,11828041,2024-12-08
CLI0150,RG0150,95710642,2023-09-18
CLI0151,RG0151,80969219,2021-07-17
CLI0152,RG0152,89019640,2021-06-04
CLI0153,RG0153,95303152,2018-08-21
CLI0154,RG0154,84825320,2018-04-28
CLI0155,RG0155,14219205,2020-05-13
CLI0156,RG0156,29547737,2022-08-28
CLI0157,RG0157,70055642,2020-11-27
CLI0158,RG0158,37686424,2022-03-15
CLI0159,RG0159,82329391,2022-03-29
CLI0160,RG0160,82867071,2023-11-22
CLI0161,RG0161,95274112,2021-03-28
CLI0162,RG0162,29438263,2023-11-28
CLI0163,RG0163,95143591,2025-11-20
CLI0164,RG0164,48467570,2018-01-01
CLI0165,RG0165,99929358,2018-11-21
CLI0166,RG0166,81817250,2023-12-17
CLI0167,RG0167,96139190,2022-10-01
CLI0168,RG0168,78785556,2023-12-31
CLI0169,RG0169,30804224,2025-01-21
CLI0170,RG0170,24046439,2025-12-11
CLI0171,RG0171,22018085,2020-02-07
CLI0172,RG0172,37344860,2020-04-12
CLI0173,RG0173,86237437,2020-05-29
CLI0174,RG0174,31087800,2025-06-25
CLI0175,RG0175,87587787,2024-07-24
CLI0176,RG0176,34845617,2022-01-24
CLI0177,RG0177,71915863,2024-09-15
CLI0178,RG0178,61839427,2020-10-18
CLI0179,RG0179,22474259,2018-08-20
CLI0180,RG0180,21415537,2024-08-09
CLI0181,RG0181,52260040,2021-05-27
CLI0182,RG0182,12268507,2023-12-03
CLI0183,RG0183,88963818,2021-10-07
CLI0184,RG0184,68096255,2020-08-24
CLI0185,RG0185,62745872,2023-09-17
CLI0186,RG0186,10212821,2020-10-05
CLI0187,RG0187,93028933,2021-05-18
CLI0188,RG0188,66329894,2024-06-05
CLI0189,RG0189,62132081,2023-04-01
CLI0190,RG0190,84547316,2022-02-27
CLI0191,RG0191,92458705,2018-01-20
CLI0192,RG0192,20406486,2021-09-02
CLI0193,RG0193,27810833,2022-09-14
CLI0194,RG0194,11971999,2022-04-21
CLI0195,RG0195,55045402,2021-07-03
CLI0196,RG0196,22108094,2021-08-19
CLI0197,RG0197,20016439,2025-08-20
CLI0198,RG0198,68484362,2023-02-03
CLI0199,RG0199,19992259,2025-02-01
CLI0200,RG0200,84296506,2024-07-21
CLI0201,RG0201,77887006,2018-01-07
CLI0202,RG0202,87111120,2018-02-05
CLI0203,RG0203,46924502,2025-03-12
CLI0204,RG0204,73082694,2018-04-11
CLI0205,RG0205,75159326,2023-08-22
CLI0206,RG0206,22091603,2024-07-13
CLI0207,RG0207,74621853,2024-11-29
CLI0208,RG0208,91928972,2024-02-19
CLI0209,RG0209,15854522,2021-12-14
CLI0210,RG0210,15885467,2023-07-15
CLI0211,RG0211,74943516,2020-02-18
CLI0212,RG0212,49330568,2024-11-05
CLI0213,RG0213,56253278,2024-02-20
CLI0214,RG0214,21823343,2022-10-12
CLI0215,RG0215,82265483,2021-05-16
CLI0216,RG0216,57217126,2021-02-03
CLI0217,RG0217,38633439,2024-10-18
CLI0218,RG0218,30318407,2018-01-20
CLI0219,RG0219,67615231,2024-12-01
CLI0220,RG0220,83438903,2024-11-09
CLI0221,RG0221,28508590,2019-10-15
CLI0222,RG0222,16727120,2019-04-16
CLI0223,RG0223,31401790,2022-07-26
CLI0224,RG0224,53560692,2020-12-13
CLI0225,RG0225,23385516,2019-02-07
CLI0226,RG0226,12563103,2021-06-23
CLI0227,RG0227,95073357,2023-10-03
CLI0228,RG0228,21161254,2019-03-03
CLI0229,RG0229,85952511,2018-11-02
CLI0230,RG0230,52883576,2024-07-12
CLI0231,RG0231,95055990,2024-12-04
CLI0232,RG0232,23407419,2022-07-30
CLI0233,RG0233,89173318,2020-08-03
CLI0234,RG0234,48633985,2023-07-21
CLI0235,RG0235,47236581,2023-04-02
CLI0236,RG0236,48146203,2021-08-16
CLI0237,RG0237,92758578,2025-08-02
CLI0238,RG0238,86112485,2022-07-21
CLI0239,RG0239,64701384,2025-05-06
CLI0240,RG0240,83483941,2024-08-24
CLI0241,RG0241,42431822,2020-10-21
CLI0242,RG0242,48785706,2024-01-23
CLI0243,RG0243,71535643,2022-06-10
CLI0244,RG0244,56699561,2018-10-23
CLI0245,RG0245,27449362,2025-03-15
CLI0246,RG0246,88129878,2023-12-08
CLI0247,RG0247,19360882,2018-07-29
CLI0248,RG0248,95524438,2022-07-02
CLI0249,RG0249,25656264,2021-12-07
CLI0250,RG0250,10871774,2025-05-10
CLI0251,RG0251,85912695,2018-05-13
CLI0252,RG0252,16231220,2018-04-05
CLI0253,RG0253,59666464,2025-09-05
CLI0254,RG0254,89971987,2020-02-04
CLI0255,RG0255,40286199,2025-01-06
CLI0256,RG0256,96843557,2024-03-24
CLI0257,RG0257,86886722,2024-03-29
CLI0258,RG0258,25041051,2025-03-11
CLI0259,RG0259,88992670,2019-01-25
CLI0260,RG0260,84626797,2018-11-13
CLI0261,RG0261,91050580,2018-12-19
CLI0262,RG0262,88099210,2021-01-18
CLI0263,RG0263,22881476,2021-03-02
CLI0264,RG0264,83980790,2021-05-26
CLI0265,RG0265,98917279,2018-12-22
CLI0266,RG0266,47414684,2023-01-21
CLI0267,RG0267,87480448,2022-10-27
CLI0268,RG0268,37898180,2024-05-10
CLI0269,RG0269,58207686,2019-10-02
CLI0270,RG0270,27534576,2022-01-24
CLI0271,RG0271,36446456,2025-01-23
CLI0272,RG0272,63403040,2021-07-25
CLI0273,RG0273,13075969,2021-04-11
CLI0274,RG0274,91620278,2018-03-25
CLI0275,RG0275,43278142,2021-09-21
CLI0276,RG0276,86167096,2018-02-15
CLI0277,RG0277,59243476,2022-03-22
CLI0278,RG0278,41389215,2021-02-14
CLI0279,RG0279,58542593,2019-01-22
CLI0280,RG0280,67912960,2023-04-23
CLI0281,RG0281,11145701,2024-04-14
CLI0282,RG0282,61719505,2019-12-21
CLI0283,RG0283,65154850,2025-12-21
CLI0284,RG0284,79080131,2019-11-03
CLI0285,RG0285,93587401,2020-11-18
CLI0286,RG0286,90636015,2020-09-06
CLI0287,RG0287,42134668,2018-08-03
CLI0288,RG0288,81354003,2019-06-12
CLI0289,RG0289,42331122,2024-02-24
CLI0290,RG0290,45846358,2021-07-10
CLI0291,RG0291,88762521,2020-01-10
CLI0292,RG0292,85741435,2023-03-15
CLI0293,RG0293,38000735,2024-09-03
CLI0294,RG0294,12969702,2019-08-28
CLI0295,RG0295,63566423,2019-06-27
CLI0296,RG0296,34390563,2020-04-18
CLI0297,RG0297,88987309,2022-12-18
CLI0298,RG0298,99616888,2023-12-07
CLI0299,RG0299,25615418,2022-09-27
CLI0300,RG0300,98286472,2018-05-11
CLI0301,RG0301,26372136,2019-10-10
CLI0302,RG0302,83683223,2018-09-17
CLI0303,RG0303,98307414,2019-12-22
CLI0304,RG0304,97306866,2022-07-29
CLI0305,RG0305,13397731,2025-06-17
CLI0306,RG0306,70796114,2022-12-13
CLI0307,RG0307,72818001,2024-04-06
CLI0308,RG0308,30468290,2021-11-22
CLI0309,RG0309,79678327,2024-06-27
CLI0310,RG0310,27183032,2023-11-22
CLI0311,RG0311,67099258,2023-01-28
CLI0312,RG0312,63418120,2024-10-05
CLI0313,RG0313,60745502,2024-07-26
CLI0314,RG0314,13595556,2018-03-09
CLI0315,RG0315,57278045,2023-11-09
CLI0316,RG0316,92671221,2023-01-20
CLI0317,RG0317,39804324,2023-08-27
CLI0318,RG0318,78085419,2020-08-12
CLI0319,RG0319,78645744,2022-05-27
CLI0320,RG0320,36830566,2021-04-24
CLI0321,RG0321,23391799,2021-06-14
CLI0322,RG0322,94592986,2019-01-25
CLI0323,RG0323,69406943,2020-01-02
CLI0324,RG0324,31660837,2020-01-04
CLI0325,RG0325,85190528,2022-02-07
CLI0326,RG0326,17671873,2018-12-25
CLI0327,RG0327,42513327,2018-08-27
CLI0328,RG0328,63260244,2022-12-20
CLI0329,RG0329,52312851,2020-08-14
CLI0330,RG0330,98582538,2024-02-25
CLI0331,RG0331,48496836,2025-05-25
CLI0332,RG0332,47158023,2021-02-20
CLI0333,RG0333,33391451,2023-08-05
CLI0334,RG0334,20400956,2023-10-18
CLI0335,RG0335,60462544,2022-10-04
CLI0336,RG0336,34811860,2023-03-14
CLI0337,RG0337,31246090,2025-01-24
CLI0338,RG0338,51269401,2018-12-27
CLI0339,RG0339,96874609,2019-11-07
CLI0340,RG0340,67225399,2020-06-03
CLI0341,RG0341,62264845,2019-09-01
CLI0342,RG0342,83107943,2021-06-01
CLI0343,RG0343,22307163,2025-08-10
CLI0344,RG0344,87607161,2018-12-08
CLI0345,RG0345,26247241,2019-05-31
CLI0346,RG0346,47955201,2023-07-08
CLI0347,RG0347,28828124,2020-08-29
CLI0348,RG0348,63809725,2025-09-03
CLI0349,RG0349,37018872,2019-10-17
CLI0350,RG0350,13094200,2023-12-20
CLI0351,RG0351,89035895,2025-11-18
CLI0352,RG0352,24751864,2020-09-15
CLI0353,RG0353,16649866,2025-07-04
CLI0354,RG0354,31677773,2021-01-25
CLI0355,RG0355,20517721,2019-09-15
CLI0356,RG0356,62810773,2022-11-28
CLI0357,RG0357,45128164,2020-02-08
CLI0358,RG0358,50983721,2022-01-16
CLI0359,RG0359,87620704,2024-01-12
CLI0360,RG0360,98232407,2018-12-07
CLI0361,RG0361,66388658,2024-05-29
CLI0362,RG0362,46186270,2024-11-17
CLI0363,RG0363,18214653,2024-05-16
CLI0364,RG0364,79601571,2019-10-08
CLI0365,RG0365,88598588,2024-10-27
CLI0366,RG0366,86059172,2018-12-05
CLI0367,RG0367,17329318,2023-08-18
CLI0368,RG0368,71937580,2020-10-25
CLI0369,RG0369,55282621,2021-12-07
CLI0370,RG0370,45043102,2022-11-10
CLI0371,RG0371,62061217,2025-06-18
CLI0372,RG0372,37474847,2025-07-31
CLI0373,RG0373,43374719,2018-07-12
CLI0374,RG0374,98049954,2018-03-26
CLI0375,RG0375,98319658,2023-03-29
CLI0376,RG0376,28907022,2018-12-13
CLI0377,RG0377,98941279,2022-07-22
CLI0378,RG0378,15038516,2024-02-04
CLI0379,RG0379,31927086,2024-09-28
CLI0380,RG0380,55201053,2025-05-28
CLI0381,RG0381,41376497,2020-01-01
CLI0382,RG0382,37435603,2024-08-24
CLI0383,RG0383,72873761,2020-11-12
CLI0384,RG0384,67293274,2022-05-21
CLI0385,RG0385,47311724,2022-07-02
CLI0386,RG0386,88077298,2020-11-07
CLI0387,RG0387,27691237,2018-04-23
CLI0388,RG0388,70964226,2019-10-08
CLI0389,RG0389,68968103,2025-09-29
CLI0390,RG0390,96193700,2020-10-04
CLI0391,RG0391,16717119,2018-10-02
CLI0392,RG0392,72969714,2024-10-06
CLI0393,RG0393,90369200,2018-03-22
CLI0394,RG0394,44188269,2025-07-05
CLI0395,RG0395,86960904,2023-11-06
CLI0396,RG0396,26002217,2025-09-17
CLI0397,RG0397,84195414,2018-08-17
CLI0398,RG0398,75059528,2024-09-15
CLI0399,RG0399,57641877,2023-04-03
CLI0400,RG0400,29073006,2025-01-25
CLI0401,RG0401,31951279,2025-06-06
CLI0402,RG0402,60584537,2025-10-18
CLI0403,RG0403,82420995,2021-11-09
CLI0404,RG0404,50900605,2021-08-09
CLI0405,RG0405,12793011,2023-09-02
CLI0406,RG0406,56890422,2023-07-31
CLI0407,RG0407,34381903,2024-02-17
CLI0408,RG0408,34828471,2019-09-19
CLI0409,RG0409,30617314,2022-06-28
CLI0410,RG0410,91146225,2024-01-13
CLI0411,RG0411,19574538,2022-08-26
CLI0412,RG0412,99233384,2018-12-06
CLI0413,RG0413,30692256,2024-08-10
CLI0414,RG0414,20200250,2020-01-26
CLI0415,RG0415,37482786,2018-08-23
CLI0416,RG0416,81730341,2023-09-30
CLI0417,RG0417,33205676,2019-12-04
CLI0418,RG0418,59994691,2018-10-31
CLI0419,RG0419,49990742,2023-06-18
CLI0420,RG0420,82106291,2024-10-27
CLI0421,RG0421,62112332,2019-07-14
CLI0422,RG0422,42823207,2020-11-16
CLI0423,RG0423,63592573,2025-02-10
CLI0424,RG0424,34198463,2024-04-03
CLI0425,RG0425,34564761,2024-02-04
CLI0426,RG0426,39119631,2023-01-24
CLI0427,RG0427,73224527,2019-12-24
CLI0428,RG0428,80712066,2020-12-25
CLI0429,RG0429,39439338,2024-04-05
CLI0430,RG0430,10286011,2023-04-26
CLI0431,RG0431,83010662,2025-01-04
CLI0432,RG0432,34086771,2025-01-24
CLI0433,RG0433,84242633,2018-04-19
CLI0434,RG0434,81669833,2023-04-10
CLI0435,RG0435,84599555,2021-11-23
CLI0436,RG0436,21180576,2018-03-06
CLI0437,RG0437,24059958,2019-06-21
CLI0438,RG0438,99096950,2024-09-14
CLI0439,RG0439,40038699,2020-01-21
CLI0440,RG0440,12655477,2020-02-21
CLI0441,RG0441,94443038,2025-02-05
CLI0442,RG0442,45755742,2022-12-15
CLI0443,RG0443,77534062,2025-04-13
CLI0444,RG0444,50118830,2023-03-11
CLI0445,RG0445,59477949,2021-02-03
CLI0446,RG0446,22643416,2025-03-12
CLI0447,RG0447,85900715,2022-07-19
CLI0448,RG0448,68405557,2018-11-01
CLI0449,RG0449,45986064,2021-07-21
CLI0450,RG0450,68770286,2023-06-11
CLI0451,RG0451,89898336,2022-04-24
CLI0452,RG0452,47017197,2020-03-18
CLI0453,RG0453,42552076,2019-12-01
CLI0454,RG0454,61112881,2025-08-17
CLI0455,RG0455,91192063,2018-07-29
CLI0456,RG0456,32015250,2025-08-02
CLI0457,RG0457,90776162,2018-09-03
CLI0458,RG0458,58126351,2021-09-03
CLI0459,RG0459,15522926,2022-05-05
CLI0460,RG0460,24225241,2024-10-09
CLI0461,RG0461,59735453,2023-02-02
CLI0462,RG0462,62395558,2019-12-21
CLI0463,RG0463,49296782,2025-10-16
CLI0464,RG0464,70240339,2023-01-04
CLI0465,RG0465,73364738,2019-06-28
CLI0466,RG0466,59977478,2018-10-17
CLI0467,RG0467,27653215,2021-12-23
CLI0468,RG0468,84977524,2022-01-31
CLI0469,RG0469,26917610,2021-09-22
CLI0470,RG0470,33925710,2019-03-15
CLI0471,RG0471,96908165,2019-10-02
CLI0472,RG0472,62183535,2021-06-12
CLI0473,RG0473,68662999,2024-08-30
CLI0474,RG0474,75645744,2019-11-25
CLI0475,RG0475,23640196,2020-07-26
CLI0476,RG0476,34808116,2023-11-01
CLI0477,RG0477,72185010,2021-05-29
CLI0478,RG0478,56507120,2024-04-15
CLI0479,RG0479,56476289,2025-03-08
CLI0480,RG0480,59424791,2018-05-17
CLI0481,RG0481,95460732,2024-01-01
CLI0482,RG0482,46137452,2023-08-29
CLI0483,RG0483,68835737,2021-10-09
CLI0484,RG0484,50302933,2018-10-07
CLI0485,RG0485,54744169,2021-12-16
CLI0486,RG0486,81115416,2019-10-21
CLI0487,RG0487,34457130,2024-03-30
CLI0488,RG0488,84734631,2025-12-06
CLI0489,RG0489,48284400,2024-02-18
CLI0490,RG0490,34365789,2024-12-23
CLI0491,RG0491,40390409,2018-12-22
CLI0492,RG0492,67023177,2022-09-25
CLI0493,RG0493,21760471,2022-05-21
CLI0494,RG0494,18765008,2021-02-18
CLI0495,RG0495,94437041,2021-02-20
CLI0496,RG0496,14956822,2023-11-10
CLI0497,RG0497,41400578,2020-05-21
CLI0498,RG0498,80070676,2018-01-22
CLI0499,RG0499,79350676,2024-09-07
CLI0500,RG0500,75804038,2024-11-30
CLI0501,RG0501,16891024,2022-06-24
CLI0502,RG0502,28476277,2022-05-26
CLI0503,RG0503,54045721,2021-12-06
CLI0504,RG0504,45685256,2022-12-28
CLI0505,RG0505,24067515,2024-05-09
CLI0506,RG0506,68306519,2018-12-11
CLI0507,RG0507,20708745,2021-09-08
CLI0508,RG0508,72815282,2025-05-13
CLI0509,RG0509,88544364,2020-09-30
CLI0510,RG0510,12773948,2024-02-20
CLI0511,RG0511,26312537,2019-10-13
CLI0512,RG0512,86974571,2022-02-07
CLI0513,RG0513,67256197,2022-01-12
CLI0514,RG0514,23564624,2025-01-21
CLI0515,RG0515,50176313,2024-08-28
CLI0516,RG0516,37600745,2018-06-29
CLI0517,RG0517,90474782,2020-06-10
CLI0518,RG0518,10954878,2025-11-23
CLI0519,RG0519,49177990,2019-04-29
CLI0520,RG0520,88488268,2021-12-30
CLI0521,RG0521,60980034,2018-12-27
CLI0522,RG0522,73288596,2024-08-21
CLI0523,RG0523,97262584,2022-10-31
CLI0524,RG0524,21033610,2022-09-27
CLI0525,RG0525,93678289,2023-02-15
CLI0526,RG0526,45648360,2025-10-31
CLI0527,RG0527,75822380,2020-02-02
CLI0528,RG0528,28028246,2019-10-08
CLI0529,RG0529,25577207,2023-07-14
CLI0530,RG0530,16026859,2022-02-27
CLI0531,RG0531,77868041,2023-09-02
CLI0532,RG0532,57057406,2022-06-30
CLI0533,RG0533,70869451,2025-12-30
CLI0534,RG0534,24181221,2025-08-15
CLI0535,RG0535,77629198,2024-06-13
CLI0536,RG0536,97496479,2022-04-05
CLI0537,RG0537,73739506,2023-07-04
CLI0538,RG0538,11671866,2023-11-16
CLI0539,RG0539,35003381,2024-11-04
CLI0540,RG0540,45160491,2023-07-08
CLI0541,RG0541,71985141,2025-12-14
CLI0542,RG0542,76403941,2022-10-13
CLI0543,RG0543,42238832,2019-07-02
CLI0544,RG0544,95133201,2025-01-19
CLI0545,RG0545,84896302,2019-01-18
CLI0546,RG0546,60089292,2018-10-30
CLI0547,RG0547,96662531,2023-11-01
CLI0548,RG0548,93464229,2025-08-22
CLI0549,RG0549,61201714,2025-05-23
CLI0550,RG0550,97617026,2020-12-31
CLI0551,RG0551,41735204,2020-07-15
CLI0552,RG0552,88301601,2024-12-15
CLI0553,RG0553,18044003,2018-05-15
CLI0554,RG0554,71927371,2024-10-03
CLI0555,RG0555,70595412,2023-09-28
CLI0556,RG0556,15537346,2020-10-11
CLI0557,RG0557,26099456,2025-06-14
CLI0558,RG0558,24892710,2018-03-13
CLI0559,RG0559,44471853,2022-06-12
CLI0560,RG0560,50471259,2023-09-24
CLI0561,RG0561,29336846,2021-03-02
CLI0562,RG0562,46453156,2025-04-07
CLI0563,RG0563,34512392,2023-10-06
CLI0564,RG0564,20590155,2021-03-19
CLI0565,RG0565,58196283,2020-10-28
CLI0566,RG0566,24267429,2024-02-25
CLI0567,RG0567,64304950,2021-11-30
CLI0568,RG0568,78946993,2024-01-11
CLI0569,RG0569,77135692,2018-06-03
CLI0570,RG0570,40966885,2023-02-02
CLI0571,RG0571,86135513,2021-07-15
CLI0572,RG0572,81012790,2023-08-04
CLI0573,RG0573,47393393,2018-12-11
CLI0574,RG0574,31168865,2023-01-04
CLI0575,RG0575,29868814,2020-10-24
CLI0576,RG0576,29915816,2020-12-02
CLI0577,RG0577,18181846,2021-08-29
CLI0578,RG0578,64130831,2019-04-05
CLI0579,RG0579,86252866,2021-03-10
CLI0580,RG0580,87798642,2025-02-06
CLI0581,RG0581,71303454,2020-01-02
CLI0582,RG0582,55209685,2023-03-14
CLI0583,RG0583,42875807,2020-11-24
CLI0584,RG0584,68325929,2019-11-25
CLI0585,RG0585,52726974,2021-03-25
CLI0586,RG0586,86951198,2020-10-14
CLI0587,RG0587,99218645,2023-09-26
CLI0588,RG0588,65414868,2019-01-07
CLI0589,RG0589,88115343,2024-05-21
CLI0590,RG0590,17859815,2019-12-16
CLI0591,RG0591,78047801,2024-06-14
CLI0592,RG0592,30037607,2024-08-09
CLI0593,RG0593,76690193,2018-07-26
CLI0594,RG0594,35857500,2024-01-13
CLI0595,RG0595,49548494,2025-08-02
CLI0596,RG0596,83679097,2025-09-03
CLI0597,RG0597,99329766,2024-08-18
CLI0598,RG0598,17433165,2025-01-20
CLI0599,RG0599,42521351,2022-08-03
CLI0600,RG0600,27066088,2020-04-08
CLI0601,RG0601,45499509,2019-11-17
CLI0602,RG0602,53634492,2021-04-26
CLI0603,RG0603,69029762,2021-01-07
CLI0604,RG0604,41755622,2019-07-03
CLI0605,RG0605,41524851,2025-06-27
CLI0606,RG0606,31901903,2024-04-11
CLI0607,RG0607,70809112,2022-06-11
CLI0608,RG0608,27451259,2021-10-02
CLI0609,RG0609,93690835,2022-10-29
CLI0610,RG0610,37876148,2021-09-15
CLI0611,RG0611,77189199,2024-08-23
CLI0612,RG0612,38115244,2018-11-27
CLI0613,RG0613,30242166,2021-06-12
CLI0614,RG0614,87152651,2025-08-10
CLI0615,RG0615,21803296,2021-12-24
CLI0616,RG0616,29696682,2020-11-02
CLI0617,RG0617,88753507,2021-12-12
CLI0618,RG0618,79366029,2021-11-23
CLI0619,RG0619,12454378,2019-03-16
CLI0620,RG0620,59804167,2025-05-08
CLI0621,RG0621,63881516,2025-01-27
CLI0622,RG0622,29096178,2019-12-06
CLI0623,RG0623,37064257,2022-03-02
CLI0624,RG0624,11772524,2022-01-01
CLI0625,RG0625,23274325,2021-01-21
CLI0626,RG0626,57617569,2023-01-26
CLI0627,RG0627,72633954,2022-09-14
CLI0628,RG0628,37653284,2024-07-28
CLI0629,RG0629,26022893,2025-11-09
CLI0630,RG0630,28468603,2018-02-23
CLI0631,RG0631,67277680,2025-02-17
CLI0632,RG0632,37219705,2023-11-04
CLI0633,RG0633,36570477,2018-08-29
CLI0634,RG0634,34435837,2025-03-26
