cliente_id,nome,cpf,dataNascimento,cidade,estado,segmento,dataCadastro
CLI0024,Vanessa Oliveira,024.529.773-84,1988-05-19,Campinas,SP,Private,2020-04-16
CLI0025,Bruna Gomes,025.568.423-19,1960-11-01,Salvador,BA,Universitário,2024-12-19
CLI0026,Eduarda Ribeiro,026.170.350-57,1985-07-26,Rio de Janeiro,RJ,Premium,2022-11-30
CLI0027,Bruna Rocha,027.406.779-23,1972-01-18,Brasília,DF,Private,2019-04-18
CLI0028,Caio Costa,028.308.803-91,1983-09-07,Belo Horizonte,MG,Universitário,2020-10-25
CLI0029,Bruno Silva,029.441.889-26,1983-07-02,São Paulo,SP,Premium,2022-12-15
CLI0030,Guilherme Ribeiro,030.696.665-28,1998-07-23,São Paulo,SP,Premium,2018-06-21
CLI0031,Gabriela Pereira,031.782.205-55,1996-06-16,Porto Alegre,RS,Premium,2020-08-27
CLI0032,Felipe Costa,032.901.521-95,1982-04-06,Belo Horizonte,MG,Private,2019-10-15
CLI0033,Henrique Almeida,033.936.571-54,1987-05-19,Rio de Janeiro,RJ,Premium,2020-07-02
CLI0034,Lucas Barbosa,034.509.795-78,1989-09-16,Salvador,BA,Varejo,2019-04-18
CLI0035,Daniel Nascimento,035.544.453-50,1999-02-24,Porto Alegre,RS,Varejo,2022-04-27
CLI0036,Lucas Carvalho,036.171.780-52,1988-02-29,São Paulo,SP,Varejo,2021-05-15
CLI0037,Mariana Gomes,037.667.230-34,1997-09-20,Brasília,DF,Universitário,2025-08-06
CLI0038,João Gomes,038.315.540-84,1988-11-28,Campinas,SP,Universitário,2022-12-15
CLI0039,Fernanda Ferreira,039.774.186-46,1990-01-26,Fortaleza,CE,Varejo,2020-08-20
CLI0040,Patrícia Nascimento,040.970.886-19,2000-11-09,Curitiba,PR,Universitário,2025-01-23
CLI0041,Mariana Pereira,041.251.771-98,1960-06-30,Campinas,SP,Varejo,2022-10-08
CLI0042,Juliana Souza,042.567.236-69,1988-06-19,Brasília,DF,Universitário,2024-11-14
CLI0043,Igor Ferreira,043.861.982-70,2000-05-17,Brasília,DF,Private,2020-10-09
CLI0044,Otávio Oliveira,044.830.392-40,1984-05-17,Brasília,DF,Private,2021-08-02
CLI0045,Mariana Rodrigues,045.823.319-18,1997-03-21,Brasília,DF,Universitário,2021-09-17
CLI0046,Igor Dias,046.812.120-83,1994-02-15,Curitiba,PR,Universitário,2018-01-25
CLI0047,Sabrina Rocha,047.919.717-38,2003-10-20,Salvador,BA,Premium,2021-01-22
CLI0048,Guilherme Araujo,048.230.737-78,1962-06-02,Salvador,BA,Universitário,2024-08-21
CLI0049,Eduarda Araujo,049.286.151-43,1994-01-04,Campinas,SP,Private,2020-05-16
CLI0050,Guilherme Oliveira,050.581.119-79,1964-09-02,Recife,PE,Private,2020-07-07
CLI0051,Enzo Silva,051.353.304-12,1973-09-02,Rio de Janeiro,RJ,Premium,2019-06-02
CLI0052,Felipe Nascimento,052.721.865-24,1974-09-10,Curitiba,PR,Private,2019-03-19
CLI0053,Mariana Almeida,053.177.706-98,1981-10-14,Campinas,SP,Varejo,2025-10-26
CLI0054,Lucas Rocha,054.538.777-57,1966-03-09,Campinas,SP,Private,2018-02-21
CLI0055,Nicolas Ribeiro,055.750.948-68,1973-09-22,Recife,PE,Universitário,2019-12-23
CLI0056,Otávio Carvalho,056.945.848-85,1984-01-29,Porto Alegre,RS,Private,2020-10-02
CLI0057,Enzo Araujo,057.683.724-95,1993-12-31,Rio de Janeiro,RJ,Private,2018-04-28
CLI0058,Isabela Nascimento,058.818.382-81,1960-11-28,Fortaleza,CE,Premium,2018-12-17
CLI0059,Caio Melo,059.761.828-72,2000-03-16,Curitiba,PR,Varejo,2019-01-17
CLI0060,Patrícia Rocha,060.643.452-64,1989-09-04,Curitiba,PR,Private,2025-11-18
CLI0061,Daniel Almeida,061.423.222-78,1976-08-10,Fortaleza,CE,Premium,2020-06-05
CLI0062,Daniel Almeida,062.403.332-56,1976-02-05,Campinas,SP,Private,2018-02-27
CLI0063,Sabrina Gomes,063.814.229-91,2004-01-15,Brasília,DF,Varejo,2018-02-20
CLI0064,Helena Melo,064.216.941-18,1995-12-13,Fortaleza,CE,Universitário,2018-10-31
CLI0065,Eduarda Dias,065.411.187-41,1970-08-17,Campinas,SP,Universitário,2024-10-19
CLI0066,Helena Dias,066.539.412-82,1965-05-27,Brasília,DF,Varejo,2020-05-01
CLI0067,Henrique Ferreira,067.665.176-30,1960-03-28,Curitiba,PR,Universitário,2023-01-20
CLI0068,Carla Pereira,068.370.906-90,1977-09-30,São Paulo,SP,Universitário,2019-04-16
CLI0069,Guilherme Rodrigues,069.173.161-31,1987-08-06,Brasília,DF,Private,2022-12-04
CLI0070,Otávio Oliveira,070.712.140-65,1988-11-30,Recife,PE,Private,2018-04-16
CLI0071,Enzo Lima,071.690.141-32,2002-03-18,Rio de Janeiro,RJ,Universitário,2021-02-13
CLI0072,Lucas Carvalho,072.441.428-95,1969-05-20,Fortaleza,CE,Premium,2021-09-12
CLI0073,Guilherme Rocha,073.137.565-21,1988-03-20,Recife,PE,Private,2021-08-17
CLI0074,Bruna Rocha,074.573.523-16,1976-10-29,Brasília,DF,Private,2024-12-25
CLI0075,Isabela Rocha,075.234.394-66,2003-06-27,Fortaleza,CE,Varejo,2018-04-29
CLI0076,Sabrina Carvalho,076.195.330-24,2001-05-25,Curitiba,PR,Varejo,2025-04-07
CLI0077,Nicolas Melo,077.583.349-68,1972-12-22,Belo Horizonte,MG,Universitário,2020-02-20
CLI0078,Enzo Carvalho,078.448.906-74,1983-12-20,Belo Horizonte,MG,Varejo,2021-03-04
CLI0079,Helena Rodrigues,079.557.651-71,1990-12-18,Porto Alegre,RS,Private,2024-03-10
CLI0080,Thiago Martins,080.339.976-62,1963-12-01,Salvador,BA,Private,2023-04-22
CLI0081,Bruno Rodrigues,081.614.704-52,1969-01-01,Recife,PE,Universitário,2019-02-13
CLI0082,Patrícia Lima,082.446.738-98,1995-08-29,Belo Horizonte,MG,Varejo,2021-09-07
CLI0083,Helena Rocha,083.136.732-18,1981-01-22,Brasília,DF,Private,2020-07-20
CLI0084,Otávio Ferreira,084.810.406-13,1964-02-16,Rio de Janeiro,RJ,Private,2018-08-18
CLI0085,Henrique Barbosa,085.521.679-97,1976-02-26,Porto Alegre,RS,Premium,2019-12-19
CLI0086,Henrique Araujo,086.753.360-68,1982-11-27,Campinas,SP,Varejo,2023-03-21
CLI0087,Otávio Ribeiro,087.701.406-91,1998-01-24,Porto Alegre,RS,Private,2023-02-15
CLI0088,Henrique Martins,088.685.467-83,1986-07-18,Recife,PE,Private,2018-03-31
CLI0089,Juliana Nascimento,089.863.608-46,1980-08-23,Recife,PE,Private,2020-06-16
CLI0090,Fernanda Araujo,090.134.693-56,1971-10-16,Belo Horizonte,MG,Varejo,2021-04-23
CLI0091,Eduarda Rocha,091.997.474-77,2005-01-06,Salvador,BA,Private,2019-11-05
CLI0092,Débora Costa,092.923.217-69,1966-10-03,Fortaleza,CE,Premium,2020-07-13
CLI0093,Carla Martins,093.114.370-78,1971-02-01,Recife,PE,Universitário,2022-02-18
CLI0094,Bruna Pereira,094.582.125-89,1989-06-05,Campinas,SP,Premium,2025-04-06
CLI0095,Aline Carvalho,095.219.243-15,1963-05-04,Rio de Janeiro,RJ,Private,2023-07-11
CLI0096,Bruna Rocha,096.529.701-29,1997-03-21,Brasília,DF,Varejo,2023-06-28
CLI0097,Caio Ribeiro,097.322.554-66,1981-03-07,Campinas,SP,Private,2019-02-11
CLI0098,Daniel Araujo,098.193.778-37,1961-11-30,Salvador,BA,Varejo,2021-09-28
CLI0099,Carla Rocha,099.312.700-37,1980-11-25,Curitiba,PR,Private,2019-08-28
CLI0100,Eduarda Rocha,100.356.917-32,1969-11-11,Porto Alegre,RS,Varejo,2019-06-24
CLI0101,Ana Ferreira,101.371.153-26,1997-10-07,São Paulo,SP,Varejo,2018-09-18
CLI0102,Vanessa Santos,102.844.902-94,1987-01-22,Brasília,DF,Universitário,2025-03-20
CLI0103,Nicolas Souza,103.602.829-66,1966-08-05,São Paulo,SP,Varejo,2021-08-12
CLI0104,Mariana Nascimento,104.643.401-68,2005-05-09,Porto Alegre,RS,Universitário,2019-02-11
CLI0105,Nicolas Araujo,105.333.523-53,2000-09-07,Rio de Janeiro,RJ,Universitário,2022-08-31
CLI0106,Bruna Melo,106.168.193-20,1968-05-12,Salvador,BA,Universitário,2019-01-31
CLI0107,Thiago Rocha,107.675.437-95,1970-12-19,Salvador,BA,Universitário,2021-12-19
CLI0108,João Nascimento,108.419.460-23,2005-07-09,Recife,PE,Premium,2019-09-26
CLI0109,Helena Rocha,109.476.217-45,1980-04-15,Fortaleza,CE,Universitário,2024-04-16
CLI0110,Vanessa Lima,110.129.284-44,1987-09-20,Campinas,SP,Private,2021-12-08
CLI0111,Carla Rodrigues,111.858.748-13,1968-03-25,São Paulo,SP,Premium,2022-03-21
CLI0112,Igor Santos,112.259.261-89,1964-06-18,Salvador,BA,Varejo,2021-01-19
CLI0113,Nicolas Lima,113.320.873-75,1970-03-18,Fortaleza,CE,Private,2022-10-27
CLI0114,Henrique Martins,114.713.156-10,1978-05-04,Campinas,SP,Private,2020-05-15
CLI0115,Karina Souza,115.107.609-65,1975-10-06,Belo Horizonte,MG,Premium,2022-04-07
CLI0116,Carla Martins,116.982.859-15,1999-02-19,Brasília,DF,Varejo,2023-02-27
CLI0117,Thiago Martins,117.826.755-63,1985-12-21,Rio de Janeiro,RJ,Varejo,2022-07-18
CLI0118,Nicolas Souza,118.349.546-85,1995-12-04,Campinas,SP,Varejo,2022-06-10
CLI0119,Enzo Ferreira,119.178.622-91,1970-03-25,Porto Alegre,RS,Premium,2021-12-02
CLI0120,Gabriela Ferreira,120.716.256-93,1966-10-05,Belo Horizonte,MG,Premium,2025-01-16
CLI0121,Bruna Dias,121.758.750-89,1988-12-29,Fortaleza,CE,Private,2019-09-11
CLI0122,Lucas Barbosa,122.175.417-69,2000-07-17,Porto Alegre,RS,Varejo,2018-08-22
CLI0123,Aline Oliveira,123.729.708-74,1994-06-29,Salvador,BA,Universitário,2024-07-05
CLI0124,Karina Nascimento,124.587.613-29,1965-07-20,São Paulo,SP,Universitário,2019-02-28
CLI0125,Rafael Ferreira,125.140.353-66,1999-06-03,Salvador,BA,Premium,2022-01-30
CLI0126,Fernanda Costa,126.167.437-22,1994-09-05,Recife,PE,Private,2020-10-29
CLI0127,Carla Dias,127.779.244-54,1987-10-31,Campinas,SP,Universitário,2019-06-13
CLI0128,Bruna Barbosa,128.195.761-95,1997-12-26,Porto Alegre,RS,Private,2018-03-16
CLI0129,Enzo Melo,129.296.331-27,1973-11-25,Salvador,BA,Varejo,2021-04-26
CLI0130,Bruna Costa,130.997.884-89,1971-10-04,Brasília,DF,Universitário,2019-09-24
CLI0131,Débora Araujo,131.144.520-56,1981-04-23,Belo Horizonte,MG,Universitário,2024-11-05
CLI0132,Fernanda Melo,132.955.298-57,1999-07-12,Fortaleza,CE,Universitário,2021-02-28
CLI0133,Guilherme Almeida,133.920.719-27,1982-06-06,Recife,PE,Varejo,2025-03-11
CLI0134,João Oliveira,134.881.264-44,2000-04-23,Rio de Janeiro,RJ,Premium,2022-11-27
CLI0135,Guilherme Araujo,135.457.127-63,1964-10-11,Rio de Janeiro,RJ,Universitário,2023-08-19
CLI0136,Juliana Souza,136.959.831-93,1990-01-29,Rio de Janeiro,RJ,Premium,2019-07-18
CLI0137,Enzo Melo,137.559.730-10,1967-02-09,São Paulo,SP,Varejo,2020-11-14
CLI0138,Henrique Gomes,138.224.148-40,1997-08-30,Campinas,SP,Universitário,2018-09-15
CLI0139,Vanessa Rocha,139.116.747-75,1981-09-14,Rio de Janeiro,RJ,Premium,2021-04-08
CLI0140,Rafael Ribeiro,140.169.638-79,2005-07-07,Curitiba,PR,Varejo,2022-05-19
CLI0141,Isabela Silva,141.465.907-18,1990-12-07,Fortaleza,CE,Premium,2025-05-15
CLI0142,Guilherme Ferreira,142.950.897-97,2001-09-06,Salvador,BA,Universitário,2025-01-31
CLI0143,Caio Araujo,143.137.400-35,1963-12-06,Belo Horizonte,MG,Premium,2018-06-21
CLI0144,Isabela Santos,144.871.762-34,1985-09-01,Recife,PE,Private,2018-07-15
CLI0145,Igor Martins,145.861.550-59,1990-06-01,Salvador,BA,Premium,2023-07-26
CLI0146,Carla Carvalho,146.716.942-33,1986-05-10,Brasília,DF,Private,2019-02-25
CLI0147,Otávio Nascimento,147.834.536-31,1999-10-28,Rio de Janeiro,RJ,Private,2023-01-06
CLI0148,Aline Santos,148.176.787-91,1996-06-10,Salvador,BA,Private,2023-10-03
CLI0149,Helena Nascimento,149.794.900-66,1963-02-14,Belo Horizonte,MG,Premium,2018-10-03
CLI0150,Vanessa Rodrigues,150.795.560-57,1993-05-17,Salvador,BA,Universitário,2018-11-11
CLI0151,Karina Lima,151.355.216-13,1976-09-09,Campinas,SP,Universitário,2023-10-22
CLI0152,Gabriela Nascimento,152.392.810-72,1977-12-16,Porto Alegre,RS,Varejo,2019-07-10
CLI0153,Fernanda Costa,153.783.455-18,1986-01-18,Rio de Janeiro,RJ,Private,2019-10-08
CLI0154,Daniel Almeida,154.911.242-40,2004-04-27,Belo Horizonte,MG,Varejo,2022-01-18
CLI0155,Vanessa Oliveira,155.167.416-60,2002-12-10,Brasília,DF,Universitário,2022-08-05
CLI0156,Bruna Barbosa,156.452.231-80,1976-04-28,Salvador,BA,Premium,2022-11-08
CLI0157,Guilherme Souza,157.630.256-48,1974-10-09,Brasília,DF,Premium,2021-08-14
CLI0158,Isabela Almeida,158.750.664-45,1971-03-25,Brasília,DF,Private,2024-11-21
CLI0159,Felipe Nascimento,159.837.719-53,1963-09-11,Brasília,DF,Varejo,2018-11-29
CLI0160,Vanessa Silva,160.609.742-79,1985-12-26,Campinas,SP,Private,2023-06-02
CLI0161,João Araujo,161.174.805-17,1974-03-07,Curitiba,PR,Universitário,2022-08-30
CLI0162,Mariana Rodrigues,162.878.479-75,1969-07-11,Campinas,SP,Private,2020-09-17
CLI0163,Eduarda Souza,163.151.397-59,1997-07-06,Fortaleza,CE,Premium,2019-10-17
CLI0164,Rafael Araujo,164.610.415-73,1962-01-29,Salvador,BA,Varejo,2022-05-30
CLI0165,Thiago Ribeiro,165.149.151-46,2004-05-25,Brasília,DF,Universitário,2021-03-16
CLI0166,Enzo Martins,166.474.146-61,1964-08-03,Recife,PE,Premium,2022-01-24
CLI0167,Enzo Rocha,167.386.945-89,1970-08-29,Brasília,DF,Premium,2019-02-01
CLI0168,Gabriela Nascimento,168.621.511-74,1963-08-12,Salvador,BA,Varejo,2018-06-09
CLI0169,Eduarda Nascimento,169.627.243-51,1988-07-29,Belo Horizonte,MG,Premium,2022-05-29
CLI0170,Caio Dias,170.406.586-12,1993-01-17,Porto Alegre,RS,Private,2025-07-22
CLI0171,Fernanda Silva,171.711.585-43,1980-05-31,Rio de Janeiro,RJ,Varejo,2024-07-18
CLI0172,Eduarda Pereira,172.132.686-99,1969-11-10,Campinas,SP,Premium,2018-03-19
CLI0173,Caio Almeida,173.520.613-88,2002-04-23,Fortaleza,CE,Varejo,2025-11-30
CLI0174,Rafael Martins,174.421.277-68,1990-09-17,Salvador,BA,Private,2025-07-31
CLI0175,Isabela Rocha,175.405.330-48,1985-12-05,Porto Alegre,RS,Premium,2025-09-28
CLI0176,Daniel Dias,176.792.656-58,1995-05-25,Salvador,BA,Private,2019-08-23
CLI0177,Juliana Araujo,177.771.362-71,1979-03-13,Porto Alegre,RS,Premium,2024-01-16
CLI0178,Henrique Santos,178.785.643-38,1980-11-20,Porto Alegre,RS,Varejo,2019-02-15
CLI0179,Bruna Rodrigues,179.105.663-30,1996-07-03,Recife,PE,Universitário,2023-05-10
CLI0180,Aline Dias,180.337.647-14,1975-09-15,Porto Alegre,RS,Universitário,2019-12-22
CLI0181,Fernanda Melo,181.290.866-47,1963-05-12,São Paulo,SP,Varejo,2021-05-07
CLI0182,Igor Rodrigues,182.971.616-69,1984-06-23,Salvador,BA,Premium,2019-04-07
CLI0183,Caio Ferreira,183.114.854-53,1986-06-20,Salvador,BA,Premium,2019-12-20
CLI0184,Carla Martins,184.785.197-33,1972-08-12,Recife,PE,Universitário,2021-08-18
CLI0185,Otávio Lima,185.437.409-84,1961-01-09,Curitiba,PR,Private,2025-05-01
CLI0186,Bruna Barbosa,186.820.888-49,1970-07-14,Rio de Janeiro,RJ,Private,2022-02-14
CLI0187,Eduarda Araujo,187.865.720-57,1997-04-22,Campinas,SP,Universitário,2024-01-11
CLI0188,Rafael Araujo,188.640.820-56,1967-01-03,Curitiba,PR,Varejo,2018-09-10
CLI0189,Thiago Rocha,189.253.268-51,1999-08-22,Brasília,DF,Varejo,2025-08-18
CLI0190,Fernanda Santos,190.564.235-75,1997-04-08,Rio de Janeiro,RJ,Universitário,2024-04-28
CLI0191,Mariana Lima,191.936.103-37,1966-07-21,São Paulo,SP,Varejo,2022-10-02
CLI0192,Juliana Melo,192.132.393-62,1976-02-23,São Paulo,SP,Premium,2025-03-12
CLI0193,Helena Martins,193.484.182-97,1971-12-06,Recife,PE,Private,2019-05-01
CLI0194,Enzo Silva,194.405.574-96,1998-01-18,Brasília,DF,Universitário,2020-07-29
CLI0195,Gabriela Souza,195.132.928-94,1997-08-11,Curitiba,PR,Varejo,2020-09-12
CLI0196,Débora Santos,196.511.549-39,1979-06-29,São Paulo,SP,Varejo,2019-07-28
CLI0197,Guilherme Dias,197.426.691-86,1988-10-07,Brasília,DF,Premium,2021-05-21
CLI0198,Bruno Rocha,198.705.852-32,1998-04-29,Brasília,DF,Universitário,2018-07-12
CLI0199,Fernanda Barbosa,199.426.813-63,1996-08-16,Salvador,BA,Premium,2021-05-13
CLI0200,Helena Rodrigues,200.925.574-17,1997-01-08,Fortaleza,CE,Universitário,2024-04-01
CLI0201,Gabriela Costa,201.762.180-67,1993-04-16,Brasília,DF,Varejo,2024-01-03
CLI0202,Helena Oliveira,202.292.923-85,1979-06-21,Porto Alegre,RS,Universitário,2020-05-05
CLI0203,Juliana Almeida,203.859.220-71,1981-10-06,Salvador,BA,Premium,2022-06-13
CLI0204,João Lima,204.468.625-73,2001-10-22,Porto Alegre,RS,Varejo,2023-04-08
CLI0205,Karina Carvalho,205.146.676-38,1973-02-02,Salvador,BA,Varejo,2020-12-04
CLI0206,Henrique Martins,206.683.953-41,2004-10-17,Recife,PE,Private,2020-11-20
CLI0207,Otávio Ferreira,207.850.914-55,1975-03-09,Fortaleza,CE,Premium,2024-02-17
CLI0208,Rafael Santos,208.959.967-19,1964-05-08,Brasília,DF,Varejo,2022-08-17
CLI0209,Carla Rodrigues,209.109.323-74,2000-11-28,Belo Horizonte,MG,Private,2018-09-05
CLI0210,Ana Silva,210.644.664-62,1961-01-23,Campinas,SP,Varejo,2023-12-09
CLI0211,Rafael Carvalho,211.925.283-23,1968-08-22,Porto Alegre,RS,Premium,2020-09-14
CLI0212,Lucas Martins,212.570.678-41,1980-04-05,Salvador,BA,Private,2025-09-02
CLI0213,Mariana Martins,213.486.665-70,1965-01-12,Rio de Janeiro,RJ,Varejo,2025-11-18
CLI0214,Igor Barbosa,214.143.335-37,2002-08-29,Recife,PE,Private,2018-07-10
CLI0215,Felipe Costa,215.116.312-85,1972-12-07,Rio de Janeiro,RJ,Universitário,2018-11-12
CLI0216,Bruna Rocha,216.439.493-27,1967-01-13,Campinas,SP,Private,2018-08-08
CLI0217,Vanessa Nascimento,217.709.506-51,1962-08-28,Rio de Janeiro,RJ,Private,2023-01-20
CLI0218,Carla Nascimento,218.402.917-41,1966-08-05,Recife,PE,Varejo,2021-01-02
CLI0219,Karina Ribeiro,219.209.193-10,1987-08-28,Belo Horizonte,MG,Universitário,2022-01-14
CLI0220,Daniel Silva,220.191.462-80,1968-05-07,Rio de Janeiro,RJ,Private,2022-04-27
CLI0221,Débora Rocha,221.348.685-76,1975-03-19,São Paulo,SP,Universitário,2019-11-26
CLI0222,Isabela Carvalho,222.406.595-19,1992-05-25,Fortaleza,CE,Private,2020-10-07
CLI0223,Daniel Rodrigues,223.411.106-60,1989-10-21,Fortaleza,CE,Universitário,2021-09-11
CLI0224,Patrícia Costa,224.281.507-50,1986-02-23,Campinas,SP,Universitário,2024-06-16
CLI0225,Lucas Souza,225.677.304-85,1976-02-21,Curitiba,PR,Varejo,2023-03-06
CLI0226,Guilherme Carvalho,226.789.611-27,1987-03-03,Porto Alegre,RS,Premium,2020-10-31
CLI0227,Otávio Nascimento,227.590.696-61,2005-06-13,Belo Horizonte,MG,Universitário,2024-02-05
CLI0228,Enzo Pereira,228.773.780-55,1974-12-03,Brasília,DF,Varejo,2024-04-25
CLI0229,Fernanda Carvalho,229.208.110-22,1983-03-19,Recife,PE,Premium,2023-09-23
CLI0230,Otávio Dias,230.807.612-29,1990-12-12,Campinas,SP,Varejo,2023-06-01
CLI0231,Guilherme Rodrigues,231.456.419-53,2000-11-06,Rio de Janeiro,RJ,Premium,2023-11-05
CLI0232,Carla Gomes,232.145.929-24,1962-01-10,Fortaleza,CE,Private,2025-04-08
CLI0233,Rafael Ferreira,233.665.263-52,1998-04-02,Rio de Janeiro,RJ,Universitário,2020-08-07
CLI0234,Ana Nascimento,234.302.560-85,1998-07-15,Belo Horizonte,MG,Universitário,2018-01-19
CLI0235,Fernanda Rocha,235.291.474-51,1977-09-05,Curitiba,PR,Universitário,2019-04-12
CLI0236,Vanessa Martins,236.725.501-85,1970-04-01,Brasília,DF,Private,2021-12-12
CLI0237,Bruna Rodrigues,237.420.220-40,1987-05-25,Fortaleza,CE,Varejo,2020-01-20
CLI0238,Nicolas Ferreira,238.598.750-78,1975-07-17,Recife,PE,Premium,2023-06-29
CLI0239,Vanessa Santos,239.986.467-11,2003-06-23,Porto Alegre,RS,Premium,2020-03-10
CLI0240,Nicolas Araujo,240.600.271-20,1962-10-08,Brasília,DF,Premium,2021-04-11
CLI0241,Felipe Araujo,241.679.860-73,2005-10-29,São Paulo,SP,Varejo,2024-06-03
CLI0242,Sabrina Almeida,242.535.204-93,1982-03-17,Salvador,BA,Private,2018-05-13
CLI0243,Helena Souza,243.894.931-40,1978-10-30,Fortaleza,CE,Private,2025-12-21
CLI0244,Fernanda Santos,244.683.459-78,1985-03-20,Campinas,SP,Premium,2021-08-18
CLI0245,Eduarda Carvalho,245.160.383-93,1971-05-20,Porto Alegre,RS,Premium,2020-10-19
CLI0246,Patrícia Rodrigues,246.691.747-44,1997-02-28,Curitiba,PR,Universitário,2023-01-26
CLI0247,Rafael Lima,247.811.998-57,2000-10-16,Rio de Janeiro,RJ,Universitário,2021-09-02
CLI0248,Helena Oliveira,248.914.647-60,1979-07-17,Rio de Janeiro,RJ,Universitário,2020-05-17
CLI0249,Sabrina Dias,249.233.679-72,1990-11-02,Fortaleza,CE,Varejo,2018-07-08
CLI0250,Otávio Silva,250.538.307-98,1971-11-01,Fortaleza,CE,Private,2019-10-14
CLI0251,Carla Ribeiro,251.780.764-31,1964-08-23,Porto Alegre,RS,Universitário,2025-01-06
CLI0252,Ana Almeida,252.588.179-26,1980-04-16,Curitiba,PR,Universitário,2018-02-08
CLI0253,Caio Rodrigues,253.589.172-39,1994-05-14,São Paulo,SP,Varejo,2019-02-24
CLI0254,Carla Barbosa,254.676.108-88,1974-09-21,Porto Alegre,RS,Universitário,2021-12-09
CLI0255,Vanessa Araujo,255.980.322-21,1969-01-05,Curitiba,PR,Premium,2019-05-20
CLI0256,Isabela Oliveira,256.354.666-86,1985-07-24,Recife,PE,Varejo,2025-05-20
CLI0257,Débora Martins,257.402.761-16,1981-06-21,Porto Alegre,RS,Universitário,2022-04-30
CLI0258,Juliana Costa,258.235.496-82,1997-10-03,Campinas,SP,Private,2024-02-16
CLI0259,Ana Dias,259.169.114-43,1979-05-10,Belo Horizonte,MG,Varejo,2018-09-05
CLI0260,Nicolas Martins,260.184.755-78,1973-09-12,Porto Alegre,RS,Private,2018-12-09
CLI0261,Sabrina Costa,261.500.700-91,1965-12-06,Porto Alegre,RS,Private,2025-11-01
CLI0262,Daniel Araujo,262.726.723-17,1987-09-30,Curitiba,PR,Premium,2019-05-05
CLI0263,Patrícia Ribeiro,263.635.629-43,1974-12-24,São Paulo,SP,Private,2019-06-04
CLI0264,Karina Carvalho,264.378.636-18,1983-08-04,Rio de Janeiro,RJ,Varejo,2023-07-26
CLI0265,Helena Dias,265.270.476-30,1982-11-20,Fortaleza,CE,Varejo,2024-06-08
CLI0266,Bruno Melo,266.472.492-29,1976-01-21,Brasília,DF,Varejo,2024-03-14
CLI0267,Juliana Costa,267.377.945-19,1993-06-12,Recife,PE,Varejo,2023-08-19
CLI0268,Mariana Oliveira,268.998.576-46,1987-11-15,Curitiba,PR,Private,2018-12-20
CLI0269,João Dias,269.903.411-89,1981-10-05,Brasília,DF,Universitário,2022-02-17
CLI0270,Eduarda Silva,270.519.124-39,1991-01-29,Curitiba,PR,Varejo,2021-10-04
CLI0271,Helena Gomes,271.206.310-77,1981-05-14,São Paulo,SP,Universitário,2023-07-09
CLI0272,Juliana Pereira,272.965.632-62,1993-06-01,Belo Horizonte,MG,Universitário,2018-12-14
CLI0273,Carla Dias,273.681.163-65,1971-09-23,Campinas,SP,Premium,2021-04-09
